mov_id,fecha,mes,anio,cuenta_id,contraparte_id,categoria_id,instrumento_id,descripcion,monto,moneda,tasa_cambio
20250524-006,2025-05-24,5,2025,,,,INS_016,Cobro de Pack 5x6,-7000,CLP,
20250524-007,2025-05-24,5,2025,,CTR_016,,,Cobro de Pack 5x5,6000,CLP,
20250524-008,2025-05-24,5,2025,,,,INS_016,Cobro de Pack 5x6,-6000,CLP,
20250524-009,2025-05-24,5,2025,,CTR_001,,,Cobro de McAfee,5990,CLP,
20250524-010,2025-05-24,5,2025,,,,INS_014,Cobro de McAfee,-5990,CLP,
20250524-011,2025-05-24,5,2025,,CTR_001,,,Cobro de Office 364,6990,CLP,
20250524-012,2025-05-24,5,2025,,,,INS_015,Cobro de Office 365,-6990,CLP,
20250524-013,2025-05-24,5,2025,,CTR_001,,,Cobro de Entradas a Shakira,21590,CLP,
20250524-014,2025-05-24,5,2025,,,,INS_025,Cobro de Entradas a Shakira,-21590,CLP,
20250524-015,2025-05-24,5,2025,,CTR_001,,,Cobro de Netflix,8800,CLP,
20250524-016,2025-05-24,5,2025,,,,INS_016,Cobro de Netflix,-8800,CLP,
20250524-017,2025-05-24,5,2025,,CTR_005,,,Cobro de Netflix,3800,CLP,
20250524-018,2025-05-24,5,2025,,,,INS_016,Cobro de Netflix,-3800,CLP,
20250524-019,2025-05-24,5,2025,,CTR_001,,,Cobro de TV Alexis,39999,CLP,
20250524-020,2025-05-24,5,2025,,,,INS_018,Cobro de TV Alexis,-39999,CLP,
20250524-021,2025-05-24,5,2025,,CTR_001,,,Cobro de Aspiradora,23800,CLP,
20250524-022,2025-05-24,5,2025,,,,INS_036,Cobro de Aspiradora,-23800,CLP,
20250524-023,2025-05-24,5,2025,,CTR_001,,,Cobro de articulos en Sodimac,20674,CLP,
20250524-024,2025-05-24,5,2025,,,,INS_038,Cobro de articulos en Sodimac,-20674,CLP,
20250524-025,2025-05-24,5,2025,,CTR_001,,,Cobro de cuotas zapatillas Alexis,28820,CLP,
20250524-026,2025-05-24,5,2025,,,,INS_019,Cobro de cuotas zapatillas Alexis,-28820,CLP,
20250602-027,2025-06-02,6,2025,,,CAT_013,,Pago de Uber One,3990,CLP,
20250602-028,2025-06-02,6,2025,,,,INS_001,Pago de Uber One,-3990,CLP,
20250602-029,2025-06-02,6,2025,,,,INS_001,Pago de Amazon Prime,-6490,CLP,
20250602-030,2025-06-02,6,2025,,,,INS_016,Pago de Amazon Prime,6490,CLP,
20250603-007,2025-06-03,6,2025,,,CAT_013,,Pago de ICC Profile Patreon,3361,CLP,
20250603-008,2025-06-03,6,2025,,,,INS_001,Pago de ICC Profile Patreon,-3361,CLP,
20250603-009,2025-06-03,6,2025,,CTR_001,,,Compra de cupos de entradas,21000,CLP,
20250603-010,2025-06-03,6,2025,,,,INS_001,Compra de cupos de entradas,-21000,CLP,
20250603-011,2025-06-03,6,2025,,,,INS_001,Compra de entradas a Cine,-8000,CLP,
20250603-012,2025-06-03,6,2025,,,,INS_030,Compra de entradas a Cine,8000,CLP,
20250603-013,2025-06-03,6,2025,,,CAT_013,,Gasto en entradas a Cine (4.000 de deivi),8000,CLP,
20250603-014,2025-06-03,6,2025,,,,INS_030,Gasto en entradas a Cine (4.000 de deivi),-8000,CLP,
20250530-021,2025-05-30,5,2025,,,CAT_002,,Reembolso de dinero desde uber One,562,CLP,
20250530-022,2025-05-30,5,2025,,CTR_001,,,Reembolso de dinero desde uber One,-562,CLP,
20250605-001,2025-06-05,6,2025,CTA_004,,,,Pago de deuda parcial,200000,CLP,
20250605-002,2025-06-05,6,2025,,CTR_001,,,Pago de deuda parcial,-200000,CLP,
20250605-003,2025-06-05,6,2025,CTA_001,,,,Traspaso de Fondos,148260,CLP,
20250605-004,2025-06-05,6,2025,CTA_004,,,,Traspaso de Fondos,-148260,CLP,
20250605-005,2025-06-05,6,2025,CTA_001,,,,Pago de TC Banco de Chile,-148260,CLP,
20250605-006,2025-06-05,6,2025,,,,INS_002,Pago de TC Banco de Chile,148260,CLP,
20250607-001,2025-06-07,6,2025,CTA_004,,,,Dinero para Uber Cumple Agustin,6000,CLP,
20250607-002,2025-06-07,6,2025,,CTR_001,,,Dinero para Uber Cumple Agustin,-6000,CLP,
20250605-007,2025-06-05,6,2025,,,CAT_030,,Pago de entrada de Deivi,-4000,CLP,
20250605-008,2025-06-05,6,2025,CTA_003,,,,Pago de entrada de Deivi,4000,CLP,
20250604-003,2025-06-04,6,2025,,,CAT_011,,Pago de plan Movistar,5068,CLP,
20250604-004,2025-06-04,6,2025,,,,INS_001,Pago de plan Movistar,-5068,CLP,
20250604-005,2025-06-04,6,2025,,CTR_001,,,Compra de pan,3589,CLP,
20250604-006,2025-06-04,6,2025,,,,INS_001,Compra de pan,-3589,CLP,
20250605-009,2025-06-05,6,2025,,,CAT_011,,Pago de plan Entel restante,7838,CLP,
20250605-010,2025-06-05,6,2025,,,,INS_001,Pago de plan Entel restante,-7838,CLP,
20250605-011,2025-06-05,6,2025,,,CAT_013,,Compra de entrada Formula 1 Cine,7100,CLP,
20250605-012,2025-06-05,6,2025,,,,INS_001,Compra de entrada Formula 1 Cine,-7100,CLP,
20250605-013,2025-06-05,6,2025,,,CAT_002,,Compra de distintos articulos Aliexpress,24517,CLP,
20250605-014,2025-06-05,6,2025,,,,INS_001,Compra de distintos articulos Aliexpress,-24517,CLP,
20250606-001,2025-06-06,6,2025,,,,INS_001,Pago de Spotify,-7050,CLP,
20250606-002,2025-06-06,6,2025,,,,INS_016,Pago de Spotify,7050,CLP,
20250608-001,2025-06-08,6,2025,,CTR_001,,,Compra de rodillos Mercado Libre,11270,CLP,
20250608-002,2025-06-08,6,2025,,,,INS_001,Compra de rodillos Mercado Libre,-11270,CLP,
20250604-007,2025-06-04,6,2025,CTA_010,,,,Compra de mercadería Laura,-6620,CLP,
20250604-008,2025-06-04,6,2025,,CTR_019,,,Compra de mercadería Laura,6620,CLP,
20250604-009,2025-06-04,6,2025,CTA_014,,,,Pago de compra de mercadería,7000,CLP,
20250604-010,2025-06-04,6,2025,,CTR_019,,,Pago de compra de mercadería,-7000,CLP,
20250528-003,2025-05-28,5,2025,,,CAT_034,,Dinero dado por abuelita,-20000,CLP,
20250528-004,2025-05-28,5,2025,CTA_014,,,,Dinero dado por abuelita,20000,CLP,
20250618-001,2025-06-18,6,2025,CTA_003,,,,"Pago dibujo Deivi, Ociel",2834,CLP,
20250618-002,2025-06-18,6,2025,,CTR_008,,,"Pago dibujo Deivi, Ociel",-2834,CLP,
20250611-001,2025-06-11,6,2025,,,,INS_001,Pago de Max,-9990,CLP,
20250611-002,2025-06-11,6,2025,,,,INS_016,Pago de Max,9990,CLP,
20250611-003,2025-06-11,6,2025,,CTR_020,,,Compra de roblox,5500,CLP,
20250611-004,2025-06-11,6,2025,,,,INS_001,Compra de roblox,-5500,CLP,
20250611-005,2025-06-11,6,2025,CTA_014,,,,Pago de compra de Roblux,6000,CLP,
20250611-006,2025-06-11,6,2025,,CTR_020,,,Pago de compra de Roblux,-6000,CLP,
20250614-001,2025-06-14,6,2025,,CTR_001,,,Pago de entradas a cine (Cargo Cinemark),2100,CLP,
20250614-002,2025-06-14,6,2025,,,,INS_001,Pago de entradas a cine (Cargo Cinemark),-2100,CLP,
20250614-003,2025-06-14,6,2025,,CTR_001,,,Pago de Uber a Placilla,8257,CLP,
20250614-004,2025-06-14,6,2025,,,,INS_001,Pago de Uber a Placilla,-8257,CLP,
20250614-005,2025-06-14,6,2025,,,CAT_003,,Compra de mercadería y comida para Marcos,12630,CLP,
20250614-006,2025-06-14,6,2025,,,,INS_001,Compra de mercadería y comida para Marcos,-12630,CLP,
20250615-001,2025-06-15,6,2025,,,,INS_001,Pago de Youtube Premium,-11000,CLP,
20250615-002,2025-06-15,6,2025,,,,INS_016,Pago de Youtube Premium,11000,CLP,
20250615-003,2025-06-15,6,2025,,,,INS_001,Compra de adrenalina puro (desconocido),-2500,CLP,
20250615-004,2025-06-15,6,2025,,,,INS_016,Compra de adrenalina puro (desconocido),2500,CLP,
20250615-005,2025-06-15,6,2025,,CTR_001,,,Pago de uber desde placilla a casa,8386,CLP,
20250615-006,2025-06-15,6,2025,,,,INS_001,Pago de uber desde placilla a casa,-8386,CLP,
20250615-007,2025-06-15,6,2025,,CTR_019,,,Compra de mercadería de Abue,10320,CLP,
20250615-008,2025-06-15,6,2025,,,,INS_001,Compra de mercadería de Abue,-10320,CLP,
20250616-001,2025-06-16,6,2025,,CTR_001,,,Viaje en Uber desde mall a casa,5063,CLP,
20250616-002,2025-06-16,6,2025,,,,INS_001,Viaje en Uber desde mall a casa,-5063,CLP,
20250616-003,2025-06-16,6,2025,,,CAT_013,,Pago de Tidal,2074,CLP,
20250616-004,2025-06-16,6,2025,,,,INS_001,Pago de Tidal,-2074,CLP,
20250618-003,2025-06-18,6,2025,,,CAT_004,,Compra de agua a Cami,1000,CLP,
20250618-004,2025-06-18,6,2025,,,,INS_001,Compra de agua a Cami,-1000,CLP,
20250618-005,2025-06-18,6,2025,,CTR_019,,,Compra de espuma expansiva para Abue,11990,CLP,
20250618-006,2025-06-18,6,2025,,,,INS_001,Compra de espuma expansiva para Abue,-11990,CLP,
20250618-007,2025-06-18,6,2025,CTA_014,,,,Pago de espuma expansiva,12000,CLP,
20250618-008,2025-06-18,6,2025,,CTR_019,,,Pago de espuma expansiva,-12000,CLP,
20250618-009,2025-06-18,6,2025,,,CAT_034,,Dinero dado por padres por lavadora,-20000,CLP,
20250618-010,2025-06-18,6,2025,CTA_014,,,,Dinero dado por padres por lavadora,20000,CLP,
20250615-009,2025-06-15,6,2025,CTA_010,,,,Compra de mercadería a Abue,-12030,CLP,
20250615-010,2025-06-15,6,2025,,CTR_019,,,Compra de mercadería a Abue,12030,CLP,
20250616-005,2025-06-16,6,2025,CTA_014,,,,Pago de compra de mercadería,23000,CLP,
20250616-006,2025-06-16,6,2025,,CTR_019,,,Pago de compra de mercadería,-23000,CLP,
20250618-011,2025-06-18,6,2025,,,CAT_003,,Compra de cafe y pan,3100,CLP,
20250618-012,2025-06-18,6,2025,CTA_010,,,,Compra de cafe y pan,-3100,CLP,
20250618-013,2025-06-18,6,2025,,,CAT_034,,Diferencia de dinero,-23000,CLP,
20250618-014,2025-06-18,6,2025,CTA_014,,,,Diferencia de dinero,23000,CLP,
20250612-001,2025-06-12,6,2025,CTA_004,,,,Pago de deuda,8002,CLP,
20250612-002,2025-06-12,6,2025,,CTR_013,,,Pago de deuda,-8002,CLP,
20250613-001,2025-06-13,6,2025,CTA_004,,,,Pago de deuda parcial,80000,CLP,
20250613-002,2025-06-13,6,2025,,CTR_001,,,Pago de deuda parcial,-80000,CLP,
20250616-007,2025-06-16,6,2025,CTA_004,,,,Pago de uber,5100,CLP,
20250616-008,2025-06-16,6,2025,,CTR_001,,,Pago de uber,-5100,CLP,
20250618-015,2025-06-18,6,2025,,,CAT_002,,Pago de cuota de dibujo,2160,CLP,
20250618-016,2025-06-18,6,2025,CTA_004,,,,Pago de cuota de dibujo,-2160,CLP,
20250620-001,2025-06-20,6,2025,CTA_006,,,,Pago de cuota de participación,-21420,CLP,
20250620-002,2025-06-20,6,2025,,,,INS_041,Pago de cuota de participación,21420,CLP,
20250615-011,2025-06-15,6,2025,,,CAT_030,,Diferencia viaje uber $8.386,-626,CLP,
20250615-012,2025-06-15,6,2025,,CTR_001,,,Diferencia viaje uber $8.386,626,CLP,
20250614-007,2025-06-14,6,2025,,,CAT_030,,Diferencia pagado con UberCash viaje 14-06,-4253,CLP,
20250614-008,2025-06-14,6,2025,,CTR_001,,,Diferencia pagado con UberCash viaje 14-06,4253,CLP,
